,article_title,article_doi,article_author,article_author_index_name,article_author_affiliation,article_page_range,article_pub_date,article_pub_year,issue_section,issue_number,issue_title,issue_page_range,issue_pub_date,issue_pub_year,volume,journal,publisher,article_type
44,The sociology of return migration : a bibliographic essay,,"Bovenkerk, F.","Bovenkerk, F.",,,1974,1974,article,,,,1974,1974,20,Publications of the research group for european migration problems,Staatsdrukkerij,main
45,The refugee problem in the Middle East,,"Witkamp, F.Th.","Witkamp, F.Th.",,,1957,1957,article,,,,1957,1957,suppl. 1,REMP-bulletin,Staatsdrukkerij,main
46,Introduction,,"Patijn, C.L.","Patijn, C.L.",,,1957,1957,article,,,,1957,1957,suppl. 1,REMP-bulletin,Staatsdrukkerij,main
47,Modern migration : a challenge to the west,,REMP,REMP,,,1954,1954,article,,,,1954,1954,suppl. 2,REMP-bulletin,Staatsdrukkerij,main
48,Adjustment of refugees to their new environment (based on the findings of an investigation in Westphalia),,"Brepohl, W. && Lehmkuhler, M.","Brepohl, W. && Lehmkuhler, M.", && ,,1955,1955,article,,,,1955,1955,suppl. 3,REMP-bulletin,Staatsdrukkerij,main
49,Dutch group settlement in Brazil,,"Hack, H.","Hack, H.",,,1959,1959,article,,,,1959,1959,suppl. 4,REMP-bulletin,Staatsdrukkerij,main
50,Churches and immigrants : (a sociological study of the mutual effect of religion and immigrant adjustment),,"Mol, J.J.","Mol, J.J.",,,1961,1961,article,,,,1961,1961,suppl. 5,REMP-bulletin,Staatsdrukkerij,main
52,Migration and the christian faith,,"Jong, de, P.","Jong, de, P.",,,1964,1964,article,,,,1964,1964,suppl. 6,REMP-bulletin,Staatsdrukkerij,main
53,Integration of refugees : some observations on the Hungarians in Canada,,"Cnossen, T.","Cnossen, T.",,,1964,1964,article,,,,1964,1964,suppl. 7,REMP-bulletin,Staatsdrukkerij,main
54,"Changes in religious behaviour of Dutch immigrants : a research report based on a random sample of 397 adult Dutch immigrants in Christchurch, New Zealand",,"Mol, J.J.","Mol, J.J.",,,1965,1965,article,,,,1965,1965,suppl. 8,REMP-bulletin,Staatsdrukkerij,main
55,East Indians in Canada,,"Jain, S.K.","Jain, S.K.",,,1971,1971,article,,,,1971,1971,suppl. 9,REMP-bulletin,Staatsdrukkerij,main
56,Finland's internal and external migrations : 1946-1972,,"Stone, K.H.","Stone, K.H.",,,1973,1973,article,,,,1973,1973,suppl. 10,REMP-bulletin,Staatsdrukkerij,main
57,Transfer of technology through international movements of manpower,,"Maselli, G.","Maselli, G.",,,1977,1977,article,,,,1977,1977,suppl. 11,REMP-bulletin,Staatsdrukkerij,main
58,"Racism, a worldwide factor opposing migrant adjustment and how to combat it",,"Bernard, W.S.","Bernard, W.S.",,,1978,1978,article,,,,1978,1978,suppl. 12,REMP-bulletin,Staatsdrukkerij,main
59,The formation of the labor supply under accelerated industrialization : Venezuela,,"Sassen, S.","Sassen, S.",,,1979,1979,article,,,,1979,1979,suppl. 13,REMP-bulletin,Staatsdrukkerij,main
60,International factor movement and complementarity : growth and entrepreneurship under conditions of cultural variation,,"Jorge, A. && Moncarz, R.","Jorge, A. && Moncarz, R.", && ,,1981,1981,article,,,,1981,1981,suppl. 14,REMP-bulletin,Staatsdrukkerij,main
61,"Productivite,Emploi et Population (Conference 1952)",,"Sauvy, A.","Sauvy, A.",,,1952,1952,article,,,,1952,1952,vol.1,REMP-bulletin,Staatsdrukkerij,main
62,Einige soziologische probleme der bevolkerungsprognose (reprint),,"Mackenroth, G.","Mackenroth, G.",,,1952,1952,article,,,,1952,1952,vol.1,REMP-bulletin,Staatsdrukkerij,main
63,"Comments by ""Some factors influencing postwar emigration from the Netherlands"".",,"Nixon, J.W.","Nixon, J.W.",,,1952,1952,article,,,,1952,1952,vol.1,REMP-bulletin,Staatsdrukkerij,main
64,Offene Fragen der Vertriebeneneingliederung (reprint),,"Edding, F.","Edding, F.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
65,Preliminary scheme concerning vocational training for emigrants,,"Mast, van der, W.","Mast, van der, W.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
66,Reply to the board of settlement in Finland,,"Gadolin, de, A.","Gadolin, de, A.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
67,Possibilities for inter-European Migration from the Netherlands,,"Hofstee, E.W. && Groenman, Sj.","Hofstee, E.W. && Groenman, Sj.", && ,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
68,"Some aspects of international migration in Sweden, Compiled from H. Hyrenius ""Befolkning och samkalle""",,"Glinstra Bleeker, van, R.J.P.","Glinstra Bleeker, van, R.J.P.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
69,The problem of land-settlement in literature.,,"Sjollema, B.Ch.","Sjollema, B.Ch.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
70,Quelques remarques sur la situation demographiques en Allemagne Orientale,,"Beijer, G. && Zeegers, G.H.L.","Beijer, G. && Zeegers, G.H.L.", && ,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
71,Refugees of Europe,,"MacKay, M.C.J.","MacKay, M.C.J.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
72,Some juridical aspects of the refugee problem (a book review),,"Dorpema, H.","Dorpema, H.",,,1953,1953,article,,,,1953,1953,vol.1,REMP-bulletin,Staatsdrukkerij,main
73,Le centre d'etudes de population,,"Peltier, R.","Peltier, R.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
74,Social and economic integration of aliens in France,,"Beijer, G.","Beijer, G.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
75,Avantages et inconvenients de l'emigration extra-europeenne (also authored by Sj. Groenman and G. Beijer),,"Brink, van den, T && Hofstee, E.W.","Brink, van den, T && Hofstee, E.W.", && ,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
76,La mobilite de la main-oeuvre dans L'Europe Federee,,"Mill, van, A.N.","Mill, van, A.N.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
77,Some special aspects of the agrarian population problems in the Netherlands,,"Meyers, H.G. && Godefroy, J.","Meyers, H.G. && Godefroy, J.", && ,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
78,Immigration and the religious problems in Brazil,,"Bastos de Avila, F.","Bastos de Avila, F.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
79,Abstract of the ethnic German Refugee in Austria 1945 to 1954,,"Radspieler, T.","Radspieler, T.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
80,Some aspects of immigration in Israel,,"Weinberg, A.A.W.","Weinberg, A.A.W.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
81,Interlinked migration,,"Mast, van der, W.","Mast, van der, W.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
82,Migration by air.,,"Schmitz, J.P.G.","Schmitz, J.P.G.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
83,Survey of some causes for succes and failure of rural settlements of Europeans overseas,,"Beijer, G.","Beijer, G.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
84,"Preface to "" Economic Impacts of immigration: the Brazilian immigration problem.",,"Isaac, J.","Isaac, J.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
85,Effects of migration on the economic situation of the population of selected European Countries of Emigration,,"Beijer, G. && Beld, van den, C.A.","Beijer, G. && Beld, van den, C.A.", && ,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
86,Reproduction and replacement rates,,"Hyrenius, H.","Hyrenius, H.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
87,Some preliminary conclusions concerning internal migration of families and individual males and individual females in the Netherlands based on new statistical data,,"Hofstee, E.W.","Hofstee, E.W.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
88,Missionairs etrangers et immigres en France.,,"Mannoni, E.","Mannoni, E.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
89,Some economic aspects of post-war migration.,,"Edding, F.","Edding, F.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
90,Quantitative aspects of external migration.,,"Beld, van den, C.A.","Beld, van den, C.A.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
91,"Aspects of economic development, with special reference to New Zealand.",,"Belshaw, H.","Belshaw, H.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
92,Post-war emigration from western Germany.,,"Edding, F.","Edding, F.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
93,Emigration from Europe.,,"Olsson, B.","Olsson, B.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
94,Guidance for emigrants.,,"Geyl, W.F.","Geyl, W.F.",,,1954,1954,article,,,,1954,1954,vol.2,REMP-bulletin,Staatsdrukkerij,main
95,Economic and demographic aspects of post-war immigration to Australia.,,"Borrie, W.D.","Borrie, W.D.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
96,Agricultural output requierements for future population growth in Australia.,,"Lewis, J.N. && Sauvon, E.A.","Lewis, J.N. && Sauvon, E.A.", && ,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
97,Post-war migration within the Commonwealth.,,"Isaac, J.","Isaac, J.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
98,AFSC Placement and resettlement program in the German Republic.,,"Radspieler, T.","Radspieler, T.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
99,Agricultural population pressure in Europe,,"Maris, A.","Maris, A.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
100,The population of Central and Western Germany up to 1955.,,"Ipsen, G.","Ipsen, G.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
101,Previsions de population en Europe occidentale jusqu'en 1971.,,"Pressat, R.","Pressat, R.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
102,"Group Settlement at Trentham Cliffs, New South Wales.",,"Lyon, A.V.","Lyon, A.V.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
103,"The ""scientific"" basis of our immigration Policy.",,"Petersen, W.","Petersen, W.",,,1955,1955,article,,,,1955,1955,vol.3,REMP-bulletin,Staatsdrukkerij,main
104,Types of Migration.,,"Herberle, R.","Herberle, R.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
105,Labor and immigration.,,"Starr, M.","Starr, M.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
106,Immigration and assimilation,,"Reid, I.D.A.","Reid, I.D.A.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
107,Planned migration,,"Beijer, G.","Beijer, G.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
108,Das connubium als ein gradmesser der eingliederung der vertriebenen in Westdeutschland,,"Lehmkuhler, M.","Lehmkuhler, M.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
109,The economic absorption of Dutch and Italian immigrants into Western Australia.,,"Appleyard, R.T.","Appleyard, R.T.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
110,Recent changes in government attitudes towards immigration.,,"Timlin, M.F.","Timlin, M.F.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
111,Patterns of peasant migration with special reference to Eastern Europe.,,"Zubrzycki, J.","Zubrzycki, J.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
112,The economic absorption of Dutch and Italian immigrants into Western Australia (concluded).,,"Appleyard, R.T.","Appleyard, R.T.",,,1956,1956,article,,,,1956,1956,vol.4,REMP-bulletin,Staatsdrukkerij,main
113,The refugee problem in the Middle East.,,"Witkamp, T.","Witkamp, T.",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
114,Expansion urbaine et mouvements de population.,,"Gottmann, J.","Gottmann, J.",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
115,L'immigration Italienne au Parana,,"Balhana, A.Pilatti","Balhana, A.Pilatti",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
116,To the memory of Pierre Jacobson,,"Cidor, H.A.","Cidor, H.A.",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
117,Immigration and culture conflict,,"Zubrzycki, J.","Zubrzycki, J.",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
118,The case for cultural tolerance: arguments from a study of Dutch immigrants in New Zealand.,,"Wentholt, R.","Wentholt, R.",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
119,Historical research as a tool for immigration policy,,"Rosenfield, H.N.","Rosenfield, H.N.",,,1957,1957,article,,,,1957,1957,vol.5,REMP-bulletin,Staatsdrukkerij,main
120,"The role of the Intergovernmental committee for European migration in the resettlement of Hungarian refugees, 1956-57.",,"Witcover, J.","Witcover, J.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
121,The volume of migration in relation to land reclamation in communist China,,"Orleans, L.A.","Orleans, L.A.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
122,The repatriation of the Dutch from Indonesia.,,"Kraak, J.H.","Kraak, J.H.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
123,Some psycho-social characteristics of sattisfied and dissatisfied British immigrant skilled manual workers in Western Australia.,,"Richardson, A.","Richardson, A.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
124,The migration of agricultural people in overseas countries.,,"Groenman, Sj.","Groenman, Sj.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
125,Overseas migration of European Agriculturists 1918-1940.,,"Beijer, G.","Beijer, G.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
126,"Primavera, a communal settlement of immigrants in Paraguay.",,"Hack, H.","Hack, H.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
127,"Applicants for emigration in Western Germany, 1950-1956.",,"Beijer, G.","Beijer, G.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
128,"Immigration to the United States under our current law and policies, 1946-1957.",,"Rubin, E.","Rubin, E.",,,1958,1958,article,,,,1958,1958,vol.6,REMP-bulletin,Staatsdrukkerij,main
129,The impact of immigration upon Australian Labor,,"Luckham, B.","Luckham, B.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
130,Necessary administrative reforms in the immigration and nationality act of 1952.,,"Rosenfield, H.N.","Rosenfield, H.N.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
131,Theoretical frame of reference for interactional patterns of religion and the adjustment of immigrants.,,"Mol, J.J.","Mol, J.J.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
132,Migration and population problems.,,"Fagley, R.","Fagley, R.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
133,"The effects of post-war immigration and the growth of population, ethnic composition and religious structure of Australia 1945-1956.",,"Price, C.A.","Price, C.A.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
134,We stangers and afraid (!),,"Rees, E.","Rees, E.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
135,2 Charts and statitics.,,"Beijer, G.","Beijer, G.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
136,"Development of refugee attitudes, experiences of the Sardinia project (with photo's).",,"Paulson, B.","Paulson, B.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
137,Pschycological and legal problems at the integration of foreign refugees in the Federal Republic of Germany,,"Heyn, H.","Heyn, H.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
138,Immigration and the economic growth of the United States: 1790-1914.,,"Rubin, E.","Rubin, E.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
139,Emigration and postal traffic.,,"Putten, v.d., A.","Putten, v.d., A.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
140,"Demographic consequences of the flight of intellectuals, highly skilled, skilled and unskilled workers from Eastern to Western germany.",,"Beijer, G.","Beijer, G.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
141,Letter to the editor.,,"Hack, H.","Hack, H.",,,1959,1959,article,,,,1959,1959,vol.7,REMP-bulletin,Staatsdrukkerij,main
142,Recent trends in Soviet internal migration policies.,,"Roof, M.K.","Roof, M.K.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
143,"Immigrants in the USA, by occupation and by sex.",,"Nixon, J.W.","Nixon, J.W.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
144,Eurasian repatriants in Holland,,"Boer-Lasschuyt, de, T.","Boer-Lasschuyt, de, T.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
145,Pattern of urban-rural development in Africa.,,"Makulu, H.F.","Makulu, H.F.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
146,Urban-rural development in Japan.,,"Sumiya, M.","Sumiya, M.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
147,Fugitive man in a regulated world.,,"Fentener van Vlissingen, R.","Fentener van Vlissingen, R.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
148,"Canada's immigration policy, 1896-1910.",,"Timlin, M.F.","Timlin, M.F.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
149,Some recent publications on Dutch emigration.,,"Beijer, G.","Beijer, G.",,,1960,1960,article,,,,1960,1960,vol.8,REMP-bulletin,Staatsdrukkerij,main
150,The assimilation of British immigrantsin a Western Australian community. A Pschycological study.,,"Richardson, A.","Richardson, A.",,,1961,1961,article,,,,1961,1961,vol.9,REMP-bulletin,Staatsdrukkerij,main
151,The assimilation of intellectual refugees in western Australia : with special reference to Hungarians,,"Taft, R. && Doczy, A.G.","Taft, R. && Doczy, A.G.", && ,,1961,1961,article,,,,1961,1961,vol.9,REMP-bulletin,Staatsdrukkerij,main
152,Latin America in international migrations,,"Bouscaren, A.T.","Bouscaren, A.T.",,,1962,1962,article,,,,1962,1962,vol.10,REMP-bulletin,Staatsdrukkerij,main
153,A note on mixed marriages as a factor in assimilation rate,,"Richardson, A.","Richardson, A.",,,1962,1962,article,,,,1962,1962,vol.10,REMP-bulletin,Staatsdrukkerij,main
154,Atlas of social and economic regions in Europe,,"Schreuder, O.","Schreuder, O.",,,1962,1962,article,,,,1962,1962,vol.10,REMP-bulletin,Staatsdrukkerij,main
155,"To our members, subscribers and readers, by the editor of the REMP-bulletin",,"Beijer, G.","Beijer, G.",,,1962,1962,article,,,,1962,1962,vol.10,REMP-bulletin,Staatsdrukkerij,main
156,The rescue and achievement of refugee scholars : the story of displaced scholars and scientists 1933-1952,,"Bentwich, N.","Bentwich, N.",,,1953,1953,article,,,,1953,1953,1,Studies in Social Life,Staatsdrukkerij,main
158,"The ethnic German refugee in Austria, 1945 to 1954",,"Radspieler, T.","Radspieler, T.",,,1955,1955,article,,,,1955,1955,2,Studies in Social Life,Staatsdrukkerij,main
160,Polish immigrants in Britain : a study of adjustment,,"Zubrzycki, J.","Zubrzycki, J.",,,1956,1956,article,,,,1956,1956,3,Studies in Social Life,Staatsdrukkerij,main
162,Migration and belonging : a study of mental health and personal adjustment in Israel,,"Weinberg, A.A.","Weinberg, A.A.",,,1961,1961,article,,,,1961,1961,5,Studies in Social Life,Staatsdrukkerij,main
164,Pastors and immigrants : the role of a religious elite in the absorption of Norwegian immigrants,,"Tavuchis, N.","Tavuchis, N.",,,1963,1963,article,,,,1963,1963,8,Studies in Social Life,Staatsdrukkerij,main
165,Thwarted exodus : post-war overseas migration from the Netherlands,,"Hofstede, B.P.","Hofstede, B.P.",,,1964,1964,article,,,,1964,1964,9,Studies in Social Life,Staatsdrukkerij,main
166,European Economic Community migrations,,"Bouscaren, A.T.","Bouscaren, A.T.",,,1969,1969,article,,,,1969,1969,12,Studies in Social Life,Staatsdrukkerij,main
167,"Germans from the East : a study of their migration, resettlement and subsequent group history since 1945",,"Schoenberg, H.W.","Schoenberg, H.W.",,,1971,1971,article,,,,1971,1971,15,Studies in Social Life,Staatsdrukkerij,main
168,"The assimilation of German expellees into the West German polity and society since 1945 : a case study of Eutin, Schleswig-Holstein",,"Lattimore jr, B.G.","Lattimore jr, B.G.",,,1974,1974,article,,,,1974,1974,18,Studies in Social Life,Staatsdrukkerij,main
0,The New U.S.A. Immigration Law,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2435.1965.tb00872.x,D.G. BENN,"BENN, DG",,99,01 July 1965,1965,Original Article,3," International Migration: Vol 3, No 3",99-180,July 1965,1965,3,International Migration,Wiley,main
5,Post-War Migration to Switzerland*,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2435.1965.tb00877.x,K. B. MAYER,"MAYER, K B",,122-136,01 July 1965,1965,Original Article,3," International Migration: Vol 3, No 3",99-180,July 1965,1965,3,International Migration,Wiley,main
6,The Decline in Religious Participation of Migrants,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2435.1965.tb00878.x,J. J. MOL,"MOL, J J",,137-145,01 July 1965,1965,Original Article,3," International Migration: Vol 3, No 3",99-180,July 1965,1965,3,International Migration,Wiley,main
7,The Repatriation of French Algerians 1962-1963,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2435.1965.tb00879.x,J. R. McDONALD,"McDONALD, J R",,146-157,01 July 1965,1965,Original Article,3," International Migration: Vol 3, No 3",99-180,July 1965,1965,3,International Migration,Wiley,main
